50--59	1
70--79	1
90--99	4
100--109	2
110--119	1
120--129	3
130--139	5
140--149	10
150--159	9
160--169	7
170--179	10
180--189	14
190--199	16
200--209	13
210--219	14
220--229	21
230--239	14
240--249	12
250--259	29
260--269	21
270--279	33
280--289	28
290--299	22
300--309	51
310--319	39
320--329	52
330--339	65
340--349	58
350--359	57
360--369	105
370--379	98
380--389	82
390--399	89
400--409	68
410--419	84
420--429	149
430--439	92
440--449	88
450--459	77
460--469	60
470--479	42
480--489	65
490--499	37
500--509	30
510--519	22
520--529	14
530--539	12
540--549	16
550--559	14
560--569	8
570--579	7
580--589	7
590--599	4
600--609	11
610--619	11
620--629	9
630--639	5
640--649	4
650--659	4
660--669	6
680--689	3
690--699	1
710--719	1
720--729	1
730--739	1
740--749	1
760--769	1
790--799	2
800--809	1
810--819	1
850--859	1
860--869	1
870--879	1
930--939	1
1010--1019	1
1030--1039	1
1100--1109	1
