# chain: length 20 score 12896
19 20813,460,25219,460,920
18 19377,418,18045,418,836
17 18477,287,17145,287,574
16 17569,218,16237,218,436
15 15174,216,15191,216,432
14 14232,414,14249,414,828
13 13719,512,13736,512,1024
12 13131,209,13148,209,418
11 12384,329,12401,329,658
10 12026,210,12043,210,420
9 11695,204,11712,204,408
8 11439,225,11456,225,450
7 10408,308,10425,308,616
6 10024,383,10041,383,766
5 9377,290,9394,290,580
4 8996,380,9013,380,760
3 8687,308,8704,308,616
2 8079,379,8096,379,758
1 7627,311,7644,311,622
0 5851,387,5868,387,774
