# chain: length 21 score 20527
215 203135,306,206479,306,612
214 202808,219,206152,219,438
213 201640,861,204984,861,1722
212 201345,263,204689,263,526
211 200811,377,204155,377,754
210 200529,281,203873,281,562
209 199928,491,203273,491,982
208 199262,665,202607,665,1330
207 198380,242,201725,242,484
206 197790,589,201135,589,1178
205 195040,2632,198385,2632,5264
204 194165,505,197510,505,1010
203 193063,1065,196408,1065,2130
202 192775,287,196120,287,574
201 191300,1210,194787,1210,2420
200 190707,592,194194,592,1184
199 189957,749,193444,749,1498
198 189688,268,193175,268,536
197 189417,270,192904,270,540
196 188711,414,192198,414,828
195 188339,371,191826,371,742
