# Fields: s. seqnum, q. seqnum, s. start, s. len, q. start, q. len, score, strand
0	1	3	1540	46	1603	401	-
0	2	2	1525	10	1478	379	+
1	9	23	1554	10	1528	400	+
1	3	12	1532	53	1559	388	-
2	8	67	1448	181	1463	375	+
2	3	83	1425	19	1364	363	+
3	9	78	1528	51	1486	401	-
3	8	4	1608	17	1599	380	-
4	8	30	1083	248	1137	285	-
4	5	5	1121	43	1151	267	-
5	12	101	1136	355	1157	341	-
5	9	2	1218	2	1279	328	-
6	11	1	525	33	506	156	+
6	10	1	523	60	548	152	+
7	8	3	1001	349	993	280	-
7	13	1	1040	109	1127	274	+
8	12	275	1537	23	1492	364	-
8	9	58	1609	4	1536	349	+
9	12	101	1435	14	1484	390	+
9	13	114	1365	2	1382	355	-
10	13	3	618	730	632	195	+
10	11	0	661	22	632	175	+
11	13	42	1269	73	1293	316	+
11	12	110	1211	277	1237	304	-
12	13	31	1235	9	1277	345	-
12	14	284	688	11	634	184	-
13	14	2	605	17	619	183	+
